ilk,currency L1,currency L2,currency L3,currency L4
ETH-A,ETH,,,
PSM-USDC-A,USDC,PSM,,
WBTC-A,WBTC,,,
USDC-A,USDC,,,
YFI-A,YFI,,,
LINK-A,LINK,,,
PAXUSD-A,PAXUSD,,,
ETH-B,ETH,,,
UNI-A,UNI,,,
TUSD-A,TUSD,,,
COMP-A,COMP,,,
ZRX-A,ZRX,,,
UNIV2USDCETH-A,UNIV2USDCETH,UNIV2,ETH,USDC
UNIV2WBTCETH-A,UNIV2WBTCETH,UNIV2,ETH,WBTC
UNIV2UNIETH-A,UNIV2UNIETH,UNIV2,ETH,UNI
BAT-A,BAT,,,
UNIV2DAIETH-A,UNIV2DAIETH,UNIV2,ETH,DAI
UNIV2DAIUSDC-A,UNIV2DAIUSDC,,DAI,USDC
AAVE-A,AAVE,,,
UNIV2ETHUSDT-A,UNIV2ETHUSDT,UNIV2,ETH,USDT
MANA-A,MANA,,,
LRC-A,LRC,,,
RENBTC-A,RENBTC,,,
UNIV2LINKETH-A,UNIV2LINKETH,UNIV2,ETH,LINK
GUSD-A,GUSD,,,
KNC-A,KNC,,,
BAL-A,BAL,,,
USDC-B,USDC,,,
USDT-A,USDT,,,
SAI,SAI,,,
